carrier_code,flight_date,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_minutes,actual_elapsed_minutes,departure_delay_minutes,wheels_off_time,taxi_out_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,is_cancelled
WN,2025-02-05,1122.0,N8845L,ATL,FLL,11:15,11:12,115.0,105.0,-3.0,11:27,15.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-12-26,1529.0,N7825A,ATL,AUS,22:50,22:59,160.0,170.0,9.0,23:27,28.0,0.0,0.0,10.0,0.0,9.0,0
WN,2022-09-05,296.0,N910WN,ATL,DAL,15:15,15:18,130.0,123.0,3.0,15:32,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-02-01,994.0,N8310C,ATL,MDW,21:55,21:57,115.0,107.0,2.0,22:11,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-02-09,1876.0,N8823Q,ATL,MCI,08:50,09:39,135.0,153.0,49.0,09:50,11.0,0.0,0.0,67.0,0.0,0.0,0
WN,2024-07-03,3936.0,N442WN,ATL,STL,08:25,09:35,105.0,107.0,70.0,09:47,12.0,0.0,0.0,72.0,0.0,0.0,0
WN,2024-10-30,840.0,N8504G,ATL,MCO,06:10,06:18,90.0,78.0,8.0,06:30,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-05-07,900.0,N209WN,ATL,HOU,17:45,17:49,135.0,127.0,4.0,17:58,9.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-12-30,1559.0,N8321D,ATL,BWI,14:45,15:00,100.0,95.0,15.0,15:10,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-09-07,3198.0,N8627B,ATL,DEN,15:00,15:12,185.0,183.0,12.0,15:23,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-05-14,4859.0,N7713A,ATL,IND,19:45,20:03,95.0,83.0,18.0,20:12,9.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-04-28,2594.0,N469WN,ATL,RSW,22:45,22:41,95.0,87.0,-4.0,22:53,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-09-13,4502.0,N401WN,ATL,RDU,21:30,21:42,85.0,72.0,12.0,21:52,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-11-22,3524.0,N8660A,ATL,MCO,06:50,06:49,85.0,79.0,-1.0,06:59,10.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-08-31,652.0,N8883Q,ATL,JAN,13:30,13:26,80.0,79.0,-4.0,13:37,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-08-10,3789.0,N8882Q,ATL,DEN,10:00,11:03,190.0,187.0,63.0,11:19,16.0,8.0,0.0,0.0,0.0,52.0,0
WN,2022-02-01,570.0,N8663A,ATL,SDF,19:30,19:21,90.0,70.0,-9.0,19:29,8.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-02-13,1095.0,N902WN,ATL,DCA,22:15,00:00,100.0,0.0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,1
WN,2023-09-18,256.0,N8874Q,ATL,LAS,06:20,06:23,255.0,246.0,3.0,06:36,13.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-01-22,3690.0,N287WN,ATL,BWI,07:30,07:27,105.0,122.0,-3.0,07:38,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-01-26,1797.0,N8512U,ATL,MDW,08:50,08:47,120.0,110.0,-3.0,09:04,17.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-05-13,1163.0,N8515X,ATL,CLE,14:15,14:20,100.0,94.0,5.0,14:32,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-01-11,3518.0,N211WN,ATL,BNA,18:50,18:43,65.0,68.0,-7.0,19:03,20.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-12-09,239.0,N7734H,ATL,BWI,22:05,22:16,105.0,94.0,11.0,22:27,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-06-10,4131.0,N8750Q,ATL,MIA,22:55,23:10,115.0,98.0,15.0,23:25,15.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-11-23,419.0,N241WN,ATL,MCO,13:30,13:27,85.0,76.0,-3.0,13:39,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-01-28,970.0,N8932Q,ATL,IND,20:40,20:34,90.0,87.0,-6.0,20:46,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-12-16,370.0,N1811U,ATL,HOU,15:55,15:52,140.0,135.0,-3.0,16:12,20.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-04-24,4011.0,N291WN,ATL,RIC,15:05,14:59,90.0,82.0,-6.0,15:08,9.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-10-14,4558.0,N8674B,ATL,IND,22:15,22:26,90.0,87.0,11.0,22:41,15.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-11-16,1928.0,N7741C,ATL,MCO,18:20,18:45,85.0,90.0,25.0,19:02,17.0,6.0,0.0,5.0,0.0,19.0,0
WN,2023-07-06,1770.0,N8748Q,ATL,HOU,22:05,22:05,120.0,123.0,0.0,22:22,17.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-12-11,1326.0,N8302F,ATL,HOU,07:00,07:14,140.0,159.0,14.0,07:29,15.0,14.0,0.0,19.0,0.0,0.0,0
WN,2025-03-21,2807.0,N968WN,ATL,MDW,14:00,13:56,115.0,107.0,-4.0,14:09,13.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-08-20,3232.0,N8819L,ATL,HOU,13:20,13:16,125.0,121.0,-4.0,13:37,21.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-02-02,3555.0,N475WN,ATL,MKE,18:35,18:32,120.0,116.0,-3.0,18:53,21.0,0.0,0.0,0.0,0.0,0.0,0
